Physical_Experiment_Count,Iteration,RMSE,R2,Best_Z
5,0,2.798534011679115,0.9148888136835749,21.743194434850025
5,1,1.248071035192343,0.9859614071058966,25.51590643551423
5,2,1.4232849359789137,0.9827517780110283,27.451532998505765
5,3,1.2308693452057522,0.9877108466139474,27.637667222682786
5,4,26.957054078084134,-4.097168763916641,27.637667222682786
5,5,58.87491570447535,-22.747204948376076,27.637667222682786
5,6,25.124344516642108,-3.218639810937165,27.637667222682786
10,0,23.902734887784085,-6.184414207053051,12.935855199117789
10,1,14.263133702408696,-2.016784379515127,14.600779717407521
10,2,16.89769195724853,-3.490192095307785,14.600779717407521
10,3,1.7310820627552546,0.955282239779182,20.78721415069449
10,4,1.958642610473271,0.9525744231807016,28.176144229026285
10,5,25.13591645272906,-7.291555420805524,28.176144229026285
10,6,1.952485689539121,0.9604122061443332,28.176144229026285
15,0,7.406842707100855,0.3202627053155491,17.91028571634836
15,1,1.5405580763960203,0.965187112951243,17.91028571634836
15,2,1.6302330977386015,0.9617225810424203,19.0509294922707
15,3,1.481355498790051,0.9702210991835243,19.0509294922707
15,4,1.4769335164561725,0.9699004011944072,19.213842461260413
15,5,1.489492951005105,0.9719919935883209,24.090565077134013
15,6,1.6474068004781677,0.9688168192549504,27.6104265504507
20,0,1.7379050646159522,0.9693568982772097,23.414684675960793
20,1,29.479735790487716,-8.435955210368656,23.414684675960793
20,2,4.803677620513874,0.742974121138221,23.414684675960793
20,3,28.059959466807666,-8.575721031156268,23.414684675960793
20,4,56.18118340153251,-35.14182109354986,28.062219414033287
20,5,1.5212474061337022,0.9743626661767735,28.062219414033287
20,6,60.34015910481315,-41.083988007480905,28.062219414033287
25,0,3.3217379320779514,0.9094208225842935,27.959608995239176
25,1,40.97584617901176,-11.504833247165749,27.959608995239176
25,2,1.9877659506528171,0.9719357225773629,28.24291132587059
25,3,1.6436507533037772,0.9802359685836891,28.24291132587059
25,4,2.1146331053039926,0.9635234129350112,28.24291132587059
25,5,2.3104389782471313,0.9537741925355276,28.330975040703994
25,6,1.7677472824868867,0.9713650549243213,28.330975040703994
