Physical_Experiment_Count,Iteration,RMSE,R2,Best_Z
5,0,2.2546799791694725,0.9992926681567817,-2.6106173724787984
5,1,0.2467906670425495,0.9999903653199759,-2.6106173724787984
5,2,0.22601389585887977,0.9999902068105234,-2.6106173724787984
5,3,1.7093478971980756,0.9993946629260375,-2.6106173724787984
5,4,2.6699014678773416,0.9984153889422971,-2.6106173724787984
5,5,0.2297384393358123,0.9999875464738904,-0.4627047651750059
5,6,0.5708952298941854,0.9999188874678929,-0.4627047651750059
10,0,0.16427705791492483,0.9999938598653582,-0.540011760944309
10,1,0.23335583119646452,0.9999855364964625,-0.540011760944309
10,2,0.19633336208229585,0.9999890148452164,-0.540011760944309
10,3,0.20155951574753683,0.9999863880619164,-0.540011760944309
10,4,0.715289468246284,0.9998210095138875,-0.540011760944309
10,5,0.22159762269332076,0.9999826473787969,-0.540011760944309
10,6,0.20424736218403647,0.9999846242098396,-0.540011760944309
15,0,1.165159173769335,0.9999380949875974,-1.3416042143958051
15,1,0.27198831493423115,0.9999954166487097,-0.3683247071790726
15,2,0.3448167913974137,0.9999907227511945,-0.3683247071790726
15,3,0.2613842680485124,0.9999936182934138,-0.3683247071790726
15,4,0.9411274539110773,0.9999050556028559,-0.3683247071790726
15,5,0.23583759838639837,0.99999331100363,-0.3683247071790726
15,6,0.24849880457506696,0.9999918436491386,-0.3683247071790726
20,0,1.2487090256344493,0.9997691071406019,-7.6031062029933105
20,1,0.2383385948937183,0.999989716904694,-3.5427190380344773
20,2,0.24060322133924023,0.9999871307634426,-0.7243093135132004
20,3,0.23439729370741605,0.9999862946316117,-0.7243093135132004
20,4,0.23900891167983468,0.999984286156728,-0.7243093135132004
20,5,0.36861289559221855,0.9999587762869964,-0.7243093135132004
20,6,0.6166619465068208,0.9998766024174358,-0.13572797988267166
25,0,2.0964651717296783,0.999598773818923,-0.40445020392689013
25,1,0.27540273498889,0.9999909197112304,-0.40445020392689013
25,2,5.440044744281379,0.9957102881264356,-0.40445020392689013
25,3,2.2821840399773454,0.9991397376136769,-0.40445020392689013
25,4,1.3879817392600242,0.9996420009521809,-0.40445020392689013
25,5,0.2764431219011216,0.9999845161054118,-0.40445020392689013
25,6,0.2189752084379971,0.9999893135554356,-0.40445020392689013
